시군구,상가명,지번주소,건물명,건물유형,등록전유부수,실제영업중수,비고
강남구,수미상회,서울특별시 강남구 논현동 145-16, ,일반,,,일반건축물(단일단위)
강남구,강남연세안과의원,서울특별시 강남구 역삼동 705-30,선릉빌딩,일반,,,일반건축물(단일단위)
강남구,청담경일태권도,서울특별시 강남구 청담동 123-44, ,일반,,,일반건축물(단일단위)
강남구,도곡상회,서울특별시 강남구 역삼동 765-5, ,집합,1,15,불일치(등록<실제)
강남구,탠캘리포니아,서울특별시 강남구 신사동 523-18, ,일반,,,일반건축물(단일단위)
강남구,에이스엔지니어링,서울특별시 강남구 역삼동 708-33,역삼동벤쳐빌딩,집합,1,45,불일치(등록<실제)
강남구,한양법률사무소,서울특별시 강남구 역삼동 702-2,삼성제일빌딩,집합,1,69,불일치(등록<실제)
강남구,다함경영컨설팅,서울특별시 강남구 도곡동 417-12, ,일반,,,일반건축물(단일단위)
강남구,샤론스톤,서울특별시 강남구 압구정동 456,현대아파트,집합,1,30,불일치(등록<실제)
강남구,노리터,서울특별시 강남구 논현동 114-29, ,일반,,,일반건축물(단일단위)
강남구,세린유학원,서울특별시 강남구 대치동 889-47,샹제리제센터,집합,1,63,불일치(등록<실제)
강남구,문스페이스,서울특별시 강남구 신사동 548-4,에비뉴 21,일반,,,일반건축물(단일단위)
강남구,프라임세무회계사무소,서울특별시 강남구 수서동 713,수서현대벤쳐빌,집합,0,254,불일치(등록<실제)
강남구,순영이엔지,서울특별시 강남구 역삼동 702-13, ,집합,0,168,불일치(등록<실제)
강남구,만성질환뉴스,서울특별시 강남구 개포동 1264-7, ,집합,1,1,
강남구,다미,서울특별시 강남구 삼성동 10-20, ,일반,,,일반건축물(단일단위)
강남구,가인미가,서울특별시 강남구 대치동 945-5,슈페리어타워,일반,,,일반건축물(단일단위)
강남구,제이엠엔터테인먼트,서울특별시 강남구 역삼동 728-39, ,일반,,,일반건축물(단일단위)
강남구,파리클라라,서울특별시 강남구 개포동 12-4,석탑프라자,집합,1,70,불일치(등록<실제)
강남구,펜앤아트카페촉,서울특별시 강남구 삼성동 109, ,일반,,,일반건축물(단일단위)
강남구,박미정의한복이야기,서울특별시 강남구 논현동 111-1,논현 에프오빌딩,일반,,,일반건축물(단일단위)
강남구,무역포장우,서울특별시 강남구 삼성동 159,무역회관,일반,,,일반건축물(단일단위)
강남구,윤석란바디케어,서울특별시 강남구 신사동 658,로데오현대(아)상가 101동,집합,1,29,불일치(등록<실제)
강남구,동일세무회계사무소,서울특별시 강남구 논현동 203, ,집합,1,96,불일치(등록<실제)
강남구,디유,서울특별시 강남구 청담동 95-3, ,일반,,,일반건축물(단일단위)
강남구,잉크홀릭타투,서울특별시 강남구 논현동 6-5, ,일반,,,일반건축물(단일단위)
강남구,렌즈커뮤니케이션즈,서울특별시 강남구 논현동 151-25, ,일반,,,일반건축물(단일단위)
강남구,태양공인중개사사무소,서울특별시 강남구 삼성동 116-27, ,일반,,,일반건축물(단일단위)
강남구,세무사김승일사무소,서울특별시 강남구 역삼동 824-11,한라클라식 오피스텔,집합,1,170,불일치(등록<실제)
마포구,성모탑정형외과의원,서울특별시 마포구 도화동 544,고려빌딩,집합,0,73,불일치(등록<실제)
마포구,마포청과,서울특별시 마포구 마포동 188-1, ,일반,,,일반건축물(단일단위)
마포구,곰두리여행,서울특별시 마포구 상암동 1640,마포창업복지관,일반,,,일반건축물(단일단위)
마포구,뉴월드유학센타,서울특별시 마포구 동교동 146-8,한국특허기술진흥원빌딩,일반,,,일반건축물(단일단위)
마포구,라이브필,서울특별시 마포구 용강동 26-4, ,일반,,,일반건축물(단일단위)
마포구,즐거운포차,서울특별시 마포구 망원동 394-111, ,일반,,,일반건축물(단일단위)
마포구,119컴퓨터,서울특별시 마포구 공덕동 22-8, ,일반,,,일반건축물(단일단위)
마포구,법무사김기동사무소,서울특별시 마포구 공덕동 456,한국사회복지회관 르네상스타워,집합,1,143,불일치(등록<실제)
마포구,모비티,서울특별시 마포구 공덕동 479,공덕 SK 리더스뷰,집합,1,0,
마포구,한국시사미디어,서울특별시 마포구 신수동 88-9, ,일반,,,일반건축물(단일단위)
마포구,파마트엘지약국,서울특별시 마포구 동교동 165-8,LG팰리스빌딩,집합,1,188,불일치(등록<실제)
마포구,C&PBizSolution,서울특별시 마포구 성산동 56-1,씨에스타워,일반,,,일반건축물(단일단위)
마포구,에스지디자인,서울특별시 마포구 서교동 351-21, ,일반,,,일반건축물(단일단위)
마포구,GS공인중개사사무소,서울특별시 마포구 서교동 393-12, ,일반,,,일반건축물(단일단위)
마포구,탑공인중개사사무소,서울특별시 마포구 상암동 34-79, ,일반,,,일반건축물(단일단위)
마포구,쁠랑풀리,서울특별시 마포구 연남동 487-32, ,일반,,,일반건축물(단일단위)
마포구,앤드,서울특별시 마포구 합정동 444-11, ,일반,,,일반건축물(단일단위)
마포구,소셜이노베이션그룹,서울특별시 마포구 성산동 226-1, ,일반,,,일반건축물(단일단위)
마포구,힐링,서울특별시 마포구 공덕동 256-13,제일빌딩,집합,1,84,불일치(등록<실제)
마포구,크리에이티브아이디,서울특별시 마포구 망원동 456-24, ,일반,,,일반건축물(단일단위)
마포구,세상속으로가는요가원，책들,서울특별시 마포구 도화동 25-13, ,일반,,,일반건축물(단일단위)
마포구,케이투상암월드컵,서울특별시 마포구 성산동 515,샤워장,일반,,,일반건축물(단일단위)
마포구,이유투어즈,서울특별시 마포구 노고산동 31-90,신촌르·메이에르타운(Ⅱ),집합,1,34,불일치(등록<실제)
마포구,TheMonoCo.,서울특별시 마포구 망원동 471-2,프리마빌딩,일반,,,일반건축물(단일단위)
마포구,세무사김운룡사무소,서울특별시 마포구 공덕동 463,마포현대하이엘,집합,1,68,불일치(등록<실제)
마포구,여명,서울특별시 마포구 도화동 181-2, ,일반,,,일반건축물(단일단위)
마포구,마음여행센터,서울특별시 마포구 대흥동 12-27,이대역 푸르지오 시티,집합,0,39,불일치(등록<실제)
마포구,두루화랑,서울특별시 마포구 상수동 354-13,알에스디티,일반,,,일반건축물(단일단위)
마포구,홍익요가연구원,서울특별시 마포구 동교동 183-12, ,일반,,,일반건축물(단일단위)
광진구,프레쉬과일,서울특별시 광진구 중곡동 41-37, ,일반,,,일반건축물(단일단위)
광진구,썸씽,서울특별시 광진구 중곡동 79-13, ,일반,,,일반건축물(단일단위)
광진구,２H상사,서울특별시 광진구 중곡동 253-31, ,일반,,,일반건축물(단일단위)
광진구,M.nail,서울특별시 광진구 구의동 631-1,현대프라임아파트,집합,1,73,불일치(등록<실제)
광진구,원우ENG,서울특별시 광진구 자양동 547-38, ,일반,,,일반건축물(단일단위)
광진구,박사공인중개사,서울특별시 광진구 화양동 119-4, ,일반,,,일반건축물(단일단위)
광진구,명인건축사사무소,서울특별시 광진구 구의동 252-14,성지하이츠,집합,0,35,불일치(등록<실제)
광진구,씨유건대화양점,서울특별시 광진구 화양동 6-2,연한빌딩,집합,1,20,불일치(등록<실제)
광진구,법무사문병식사무소,서울특별시 광진구 군자동 358-9,광진 동양파라곤 2단지,집합,1,42,불일치(등록<실제)
광진구,놀부부대찌개스타시티점,서울특별시 광진구 자양동 227-7,더샵스타시티,집합,1,40,불일치(등록<실제)
광진구,신백구약국,서울특별시 광진구 군자동 363-1, ,일반,,,일반건축물(단일단위)
광진구,삼성부동산공인중개사사무소,서울특별시 광진구 군자동 361-32, ,일반,,,일반건축물(단일단위)
광진구,라운지47,서울특별시 광진구 화양동 47-18, ,일반,,,일반건축물(단일단위)
광진구,시마모텔,서울특별시 광진구 자양동 10-6, ,일반,,,일반건축물(단일단위)
광진구,뺑드램,서울특별시 광진구 자양동 609-6, ,일반,,,일반건축물(단일단위)
광진구,탑공인중개사사무소,서울특별시 광진구 구의동 221-31, ,일반,,,일반건축물(단일단위)
광진구,대원기숙원,서울특별시 광진구 중곡동 20-2, ,일반,,,일반건축물(단일단위)
광진구,엠브로돈까스,서울특별시 광진구 구의동 244-50, ,집합,1,7,불일치(등록<실제)
광진구,동서울,서울특별시 광진구 구의동 595, ,일반,,,일반건축물(단일단위)
광진구,초월스터디카페,서울특별시 광진구 중곡동 18-75, ,일반,,,일반건축물(단일단위)
광진구,은혜분식,서울특별시 광진구 군자동 361-25, ,일반,,,일반건축물(단일단위)
광진구,오케이연탄막창구이,서울특별시 광진구 중곡동 38-8, ,일반,,,일반건축물(단일단위)
광진구,롤롤로샵,서울특별시 광진구 화양동 33-40, ,일반,,,일반건축물(단일단위)
광진구,몰디브태닝건대,서울특별시 광진구 화양동 48-5, ,일반,,,일반건축물(단일단위)
광진구,해오름공인중개사사무소,서울특별시 광진구 구의동 219-12, ,일반,,,일반건축물(단일단위)
광진구,메가통신,서울특별시 광진구 구의동 546-4,강변테크노마트,집합,1,500,불일치(등록<실제)
광진구,대원할인마트,서울특별시 광진구 중곡동 21-11,토끼빌딩,일반,,,일반건축물(단일단위)
광진구,팡팡,서울특별시 광진구 구의동 593-19, ,일반,,,일반건축물(단일단위)
광진구,파오로,서울특별시 광진구 화양동 7-12, ,일반,,,일반건축물(단일단위)
종로구,치휴한방병원,서울특별시 종로구 연건동 39,대학로빌딩,일반,,,일반건축물(단일단위)
종로구,청안,서울특별시 종로구 소격동 61, ,일반,,,일반건축물(단일단위)
종로구,수피아,서울특별시 종로구 종로3가 27, ,일반,,,일반건축물(단일단위)
종로구,광명피아노,서울특별시 종로구 낙원동 288, ,집합,1,142,불일치(등록<실제)
종로구,금술,서울특별시 종로구 종로4가 30, ,일반,,,일반건축물(단일단위)
종로구,동진산업,서울특별시 종로구 관수동 100, ,일반,,,일반건축물(단일단위)
종로구,천지의료기,서울특별시 종로구 종로3가 145-1,화암빌딩,일반,,,일반건축물(단일단위)
종로구,열두척,서울특별시 종로구 묘동 24-1, ,일반,,,일반건축물(단일단위)
종로구,현대전기,서울특별시 종로구 계동 117-1, ,일반,,,일반건축물(단일단위)
종로구,종로양행,서울특별시 종로구 안국동 104, ,일반,,,일반건축물(단일단위)
종로구,임가전,서울특별시 종로구 장사동 116-4,세운상가,집합,0,79,불일치(등록<실제)
종로구,싸립문을밀고들어서니,서울특별시 종로구 인사동 154-10, ,일반,,,일반건축물(단일단위)
종로구,비바체,서울특별시 종로구 인사동 257, ,일반,,,일반건축물(단일단위)
종로구,최가네곱창,서울특별시 종로구 종로3가 156-2, ,일반,,,일반건축물(단일단위)
종로구,쑥향떡집,서울특별시 종로구 연지동 188-3, ,일반,,,일반건축물(단일단위)
종로구,류화랑,서울특별시 종로구 관훈동 30-13, ,일반,,,일반건축물(단일단위)
종로구,담배집,서울특별시 종로구 돈의동 103-70, ,일반,,,일반건축물(단일단위)
종로구,에듀컴,서울특별시 종로구 와룡동 36-1, ,일반,,,일반건축물(단일단위)
종로구,마산아구원조,서울특별시 종로구 낙원동 99-1, ,일반,,,일반건축물(단일단위)
종로구,운석,서울특별시 종로구 봉익동 118-2,봉익동 빌딩,일반,,,일반건축물(단일단위)
종로구,도서마을,서울특별시 종로구 익선동 94-3, ,일반,,,일반건축물(단일단위)
종로구,반반2,서울특별시 종로구 돈의동 50, ,일반,,,일반건축물(단일단위)
종로구,보혁사,서울특별시 종로구 묘동 24-2, ,일반,,,일반건축물(단일단위)
종로구,시온상사,서울특별시 종로구 관수동 130-1, ,일반,,,일반건축물(단일단위)
종로구,상록,서울특별시 종로구 낙원동 236-1, ,일반,,,일반건축물(단일단위)
종로구,대한공인중개사무소,서울특별시 종로구 장사동 224-8, ,일반,,,일반건축물(단일단위)
종로구,건영사,서울특별시 종로구 충신동 25-37,충신빌딩,일반,,,일반건축물(단일단위)
종로구,사동집,서울특별시 종로구 관훈동 29-18, ,일반,,,일반건축물(단일단위)
종로구,음식당,서울특별시 종로구 관훈동 192-36, ,일반,,,일반건축물(단일단위)
종로구,대성부동산,서울특별시 종로구 가회동 162-1, ,일반,,,일반건축물(단일단위)
